1	Нестеров Сергій Юрійович	ГО "Народне Коло"
2	Бондарчук Ігор Борисович	ГО "Право на допомогу"
3	Саранов Сергій Георгійович	ГО "Міжнародна спеціальна антикорупційна колегія"
4	Золотих Дмитро Володимирович	ГО "Стоп нелегал"
5	Сенько Ігор Петрович	"Всеукраїнський центр протидії корупції та сприяння правоохоронним органам "Антикорупційна ініціатива"
6	Лішавський Володимир Гаврилович	ГО "Антикорупційне бюро України"
7	Бочкала Роман Олександрович	ГО "Стоп корупція"
8	Долинський Денис Валентинович	ГО "Народний люстратор"
9	Сидоренко Андрій Миколайович	ГО "Народний люстратор"
10	Василів Ігор Володимирович	"Всеукраїнське об'єднання "Автомайдан"
11	Гриценко Олексій Анатолійович	"Всеукраїнське об'єднання Автомайдан»
12	Гусев Костянтин Олександрович	ГО "Народна Україна"
13	Гладкова Дар'я Вікторівна	ГО "Народна Україна"
14	Бурдюг Олена Миколаївна	ГО "Народна Україна"
15	Панченко Олексій Євгенійович	ВГО "Національний Координаційнит Комітет сприяння протидіїї корупції"
16	Черняк Євген Олександрович	"Transparency International Ukraine"
17	Староста Іван Іванович	Громадянська спілка "Громадянский захист підприємництва"
18	Надіч Нона Дидронівна	ГО "Українська правозахисна асоціація "Закон та Справедливість"
19	Рисенко Володимир Миколайович	ГО "Харківський антикорупційний центр"
20	Філімон Степан Сергійович	"ІЦ Безпечне місто"
21	Галунга Іван Дмитрович	ГО "Народний люстраційний центр" 
22	Маселко Роман Анатолійович	"Всеукраїнське об'єднання "Автомайдан"
23	Юрченко Алла Валеріївна	ГО "Офіс Регіонального Розвитку"
24	Маслянчук Петро Людвігович	ГО "Барикада"
25	Скачков Андрій Геннадійович	Громадська організація "Спеціальна комісія по нагляду за виконанням законодавства України стосовно боротьби з організованою злочинністю та корупцією"
26	Підпалий Юрій Миколайович	Громадська організація "Центр міжнародної та національної безпеки"
27	Первак Назар Михайлович	Громадська організація "Всеукраїнське об'єднання "Антикорупційний блокпост"
28	Грушовець Євген Анатолійович	Всеукраїнська громадська організація "Асоціація правників України"
29	Гребенюк Сергій Олександрович	Всеукраїнська громадська організація "Асоціація правників України"
