1	Гула Сергій Євгенович	«Ні хабарництву! Я не даю і не беру хабарів»
2	Керечанин Євген Васильович	«Провідна Рада»
3	Стоянов Артем Дмитрович	«Асоціація правників України»
4	Іванченко Ольга Сергіївна	«Тринадцятий район»
5	Яновська Олександра Григорівна	«Українська Гельсінська спілка з прав людини»
6	Гриценко Олексій Анатолійович	«Всеукраїнське об’єднання «Автомайдан»
7	Маселко Роман Анатолійович	«Всеукраїнське об’єднання «Автомайдан»
8	Шумський Сергій Станіславович	«Асоціація дослідників державного управління»
9	Зісельс Йосип Самойлович	«Українська Гельсінська спілка з прав людини»
10	Шабунін Віталій Вікторович	«Центр протидії корупції»
11	Устінова Олександра Юріївна	«Центр протидії корупції»
12	Каленюк Дар'я Миколаївна	«Центр протидії корупції»
13	Липовий Сергій Олександрович	Військово-патріотичне об’єднання учасників АТО «Справедливість»
14	Ружицький Сергій Броніславович	Військово-патріотичне об’єднання учасників АТО «Справедливість»
15	Гевко Ігор Миколайович	Військово-патріотичне об’єднання учасників АТО «Справедливість»
16	Литвиненко Віктор Іванович	«Асоціація професіоналів з національної безпеки»
17	Лішавський Володимир Гаврилович	Гаврилович «АНТИКОРУПЦІЙНЕ БЮРО В УКРАЇНІ»
18	Шерембей Дмитро Олегович	«Трансперенсі Інтернешнл Україна»
19	Марусов Андрій Юрійович	«Трансперенсі Інтернешнл Україна»
20	Хмара Олексій Сергійович	«Трансперенсі Інтернешнл Україна»
21	Бондар Ілля Леонідович	Всеукраїнське об’єднання «Народна армія»
22	Вернигора Дмитро Сергійович	«Комітет по боротьбі з корупцією та порушенням прав громадян»
23	Ведмідь Володимир Анатолійович	«Всеукраїнська асоціація поліграфологів»
24	Журавльов Дмитро Володимирович	«Інститут теоретико-правових досліджень та інноваційних проектів»
25	Волошин Юрій Олексійович	«Міжнародний комітет боротьби з організованою злочинністю тероризмом та корупцією»
26	Таранченко Віктор Леонідович	«Міжрегіональний народний контроль»
27	Ільницький Михайло Степанович	Всеукраїнська громадська організація «громада і закон»
28	Алєксєєнко Микола Іванович	Благодійна організація «Комітет по боротьбі з корупцією в міліції та органах державної влади в Україні»
29	Кошулько Сергій Саввич	Дніпропетровська громадська обласна організація «Комітет по боротьбі з корупцією та порушенням прав людини»
30	Сухомлінов Дмитро Олександрович	Всеукраїнська громадська організація «громада і закон»
31	Горобець Ігор Олександрович	«Бюро з роботи протидії організованій злочинності та корупції»
32	Ярмоленко Ірина Василівна	Громадська організація «Центр Суспільних Комунікацій»
33	Кисіль Аліса Олександрівна	ГО «Наші гроші»
34	Бігус Денис Станіславович	ГО «Наші гроші»
35	Чаплинський Дмитро Олександрович	ГО «Наші гроші»
36	Гуменюк Олександр Володимирович	ГО «Громадянська служба  «Свідомо»»
37	Опанасенко Максим Володимирович	ГО «Громадянська служба  «Свідомо»»
38	Юрчишин Ярослав Романович	ГО «Громадянська служба  «Свідомо»»
39	Косяк Олег Володимирович	Комітет по боротьбі з корупцією та порушенням прав громадян
40	Лавровський Сергій Євгенович	Міжрегіональний народний контроль
41	Шмонденко Дмитро Вікторович	Міжрегіональний народний контроль
42	Барнацький Павло Степанович	Народний антикорупційний нагляд
43	Вишньов Віктор Михайлович	Народний антикорупційний нагляд
44	Ружицький Антон Матвійович	Народний антикорупційний нагляд
45	Виноградов Олексій Сегрійович	Громадянська позиція
46	Камаралі Анатолій Олександрович	Громадянська позиція
47	Дідовець Юрій Вікторович	Адвокатське об’єднання «Український адвокат»
48	Підпалий Юрій Миколайович	Центр міжнародної та національної безпеки
